             text_00     text_01     text_02     text_03     text_04     text_05     text_06     text_07     text_08     text_09     text_10     text_11     text_12     text_13     text_14     text_15     text_16     text_17     text_18     text_19     text_20     text_21     text_22     text_23     text_24     text_25     text_26     text_27     text_28     text_29     text_30     text_31     text_32     text_33     text_34     text_35     text_36     text_37     text_38     text_39     text_40     text_41     text_42     text_43     text_44     text_45     text_46     text_47     text_48     text_49     total      
conjuncture  16          17          14          15          12          10          10          10          15          10          13          8           8           9           5           11          13          10          6           10          9           11          10          9           6           7           12          14          12          14          6           14          13          10          14          11          11          12          13          10          8           9           7           9           12          6           8           14          7           11          531        
dragonfly    7           3           12          15          11          7           10          12          11          8           11          7           7           9           11          9           10          7           12          15          9           6           7           8           11          11          11          7           10          9           14          11          9           12          9           16          8           10          8           4           12          12          11          9           6           10          14          14          12          11          495        
dunham       8           8           8           13          8           8           8           4           5           6           10          8           13          11          20          13          6           12          10          8           11          6           13          20          13          7           13          7           10          6           8           10          9           12          11          9           9           9           8           11          6           12          7           9           10          6           10          7           9           6           471        
earthmoving  8           7           10          17          14          9           11          10          14          10          12          12          5           12          8           7           11          8           14          7           9           9           12          6           10          10          13          8           10          15          6           10          7           11          9           16          10          8           4           13          15          11          3           9           11          11          5           9           9           5           490        
engineer     10          11          12          6           13          12          9           7           7           8           11          10          7           9           4           15          12          9           9           8           8           9           7           8           8           8           20          15          12          14          13          13          11          14          7           11          6           15          10          4           14          13          10          11          7           15          9           9           12          10          512        
essence      7           11          11          14          5           9           12          7           12          12          8           5           9           5           10          9           7           15          8           9           15          7           12          10          10          9           11          12          7           11          8           10          9           9           13          10          14          9           5           8           8           7           13          9           10          17          9           8           9           6           480        
eyeglass     8           9           11          8           8           11          7           8           8           17          3           11          14          14          17          9           11          7           9           10          7           8           16          14          11          11          6           7           6           11          6           7           7           13          11          11          11          10          6           9           8           6           17          18          7           8           10          10          12          8           492        
fissile      13          13          11          10          9           9           9           9           11          7           14          9           8           10          9           10          16          1           8           12          6           9           8           10          9           14          15          7           11          10          12          12          9           7           10          14          9           13          6           15          8           11          8           7           13          8           18          15          9           12          513        
galena       8           10          11          7           8           15          16          14          12          12          10          9           4           11          18          15          10          12          10          10          10          12          8           8           15          16          12          10          12          11          15          15          10          10          11          10          12          12          13          13          12          8           9           15          8           7           8           8           12          11          555        
gil          11          10          13          8           13          9           6           13          13          6           7           10          11          9           6           8           6           5           8           13          9           9           10          4           8           8           6           6           7           8           17          7           18          10          11          10          6           13          15          9           13          10          6           10          13          9           7           8           12          13          477        
glassine     8           6           10          12          16          5           13          6           4           13          16          8           8           10          6           10          7           1           13          15          4           5           9           9           15          18          12          15          6           7           11          7           10          14          11          8           11          11          8           9           11          9           10          11          18          9           12          14          10          13          504        
godmother    8           7           5           8           11          14          10          9           4           11          11          10          8           6           5           9           6           11          11          12          12          14          8           5           10          14          7           7           9           14          10          10          12          6           14          9           11          5           15          15          9           13          6           10          12          11          8           6           12          7           477        
gordian      9           11          14          5           9           6           11          20          8           11          12          9           9           12          7           12          7           10          10          12          11          14          14          6           6           12          8           8           9           12          15          11          8           11          12          10          8           10          15          9           14          11          9           8           6           8           5           9           12          9           504        
hungarian    5           8           16          8           11          9           7           8           12          13          11          7           12          11          6           5           8           10          9           14          13          9           7           13          12          11          9           12          7           14          13          6           12          10          9           8           14          12          10          13          17          10          4           14          17          10          9           7           10          9           511        
huzzah       5           12          10          12          12          9           13          4           12          6           11          16          11          14          13          8           10          7           6           9           15          14          7           12          9           12          7           11          12          10          12          14          7           13          5           12          6           8           7           8           13          7           7           8           13          7           7           13          12          8           496        
impressible  9           9           7           8           9           8           13          16          13          14          6           6           7           10          8           11          16          8           6           6           15          17          10          12          9           8           12          12          15          12          8           15          8           6           10          10          8           10          8           12          9           9           11          9           10          8           14          10          9           12          508        
incoherent   14          10          17          9           10          10          6           7           6           11          11          15          12          6           15          11          10          7           10          9           10          5           7           7           12          9           10          5           6           8           7           7           11          8           7           16          9           6           10          18          6           12          9           9           11          12          7           6           11          9           476        
incorporate  13          11          11          7           10          13          9           10          19          6           11          8           11          11          11          11          10          6           8           10          10          9           11          13          12          5           15          14          11          11          12          13          12          8           10          8           11          14          15          12          15          13          7           10          9           11          9           14          8           11          539        
lascivious   11          11          3           9           13          9           9           8           8           11          11          10          12          10          14          9           12          15          7           8           5           8           7           10          7           8           8           7           11          8           12          11          10          11          9           3           11          4           10          8           14          6           13          6           7           7           9           15          11          8           464        
lotion       13          12          5           8           8           9           6           7           12          14          7           10          10          12          3           9           9           11          14          8           8           8           4           11          9           6           6           11          10          7           8           6           16          13          7           6           9           8           13          11          5           10          9           4           10          8           12          4           8           10          444        
mainline     12          3           8           11          14          5           10          5           8           8           9           11          15          8           10          10          12          15          9           12          16          6           10          11          13          4           10          8           11          4           7           3           13          6           13          12          9           9           10          12          8           10          12          11          16          13          9           3           17          11          492        
mamma        13          11          10          11          14          10          13          8           6           7           10          11          11          23          13          11          3           7           15          15          11          11          9           10          10          13          6           15          7           10          12          9           10          10          10          12          4           13          13          3           18          11          9           10          4           7           8           18          11          2           518        
max          9           11          11          6           11          4           10          8           10          9           16          13          12          7           16          10          9           15          8           12          7           8           7           10          14          7           9           7           9           10          9           12          13          8           15          15          14          5           15          8           7           10          12          9           9           16          4           8           8           11          503        
meager       9           11          12          7           12          9           8           9           14          11          11          11          15          9           8           14          9           15          11          8           12          9           4           5           11          7           15          13          8           5           14          12          9           10          8           7           9           8           9           11          12          10          16          12          6           9           8           5           11          13          501        
memorandum   15          9           9           10          8           16          11          14          12          12          16          14          16          10          8           10          11          3           11          6           8           13          10          8           4           9           6           10          9           15          11          10          9           8           13          11          7           8           7           8           8           6           10          9           11          9           14          14          9           10          505        
mixup        12          10          9           10          12          6           10          9           8           16          12          8           7           12          3           11          12          8           12          10          4           9           6           11          12          11          6           9           12          6           9           7           8           6           15          13          8           9           10          9           15          11          8           4           12          12          13          12          13          8           485        
morgan       13          11          9           10          9           11          13          15          11          8           10          10          16          3           13          11          14          9           8           4           8           5           6           6           6           14          14          5           11          12          9           7           13          11          7           11          10          9           12          12          5           9           11          9           11          9           8           7           5           3           473        
paso         12          9           19          14          9           10          11          13          7           6           6           12          12          12          14          11          9           5           14          13          12          10          13          9           12          11          6           9           8           12          8           8           8           13          7           11          16          16          3           15          3           10          18          10          10          11          7           13          8           11          526        
pianoforte   6           12          8           11          10          11          13          16          11          6           7           16          16          10          5           7           13          16          10          8           5           10          10          11          11          15          12          14          11          7           8           15          13          11          9           11          12          10          11          6           9           14          11          8           12          10          12          8           4           11          523        
provoke      12          12          8           12          5           14          11          13          13          7           9           15          12          8           12          7           10          14          11          14          11          11          15          6           7           8           7           11          10          12          7           12          14          10          12          9           8           7           14          11          8           9           8           6           3           10          12          12          14          10          513        
pushover     11          7           13          10          10          8           9           10          8           7           8           10          5           4           11          9           11          8           13          8           15          14          6           15          12          13          8           11          14          10          5           9           7           8           5           14          11          5           11          9           17          7           8           15          6           5           9           13          12          12          486        
silicide     14          12          11          17          8           13          8           6           16          12          7           14          7           10          13          9           9           11          15          14          11          8           16          15          12          5           16          10          15          11          12          7           5           10          10          7           8           12          12          12          9           5           3           15          9           13          7           12          10          8           531        
skirt        7           6           13          9           12          14          10          16          10          8           12          9           11          11          14          13          15          9           13          16          11          10          14          12          11          14          5           14          11          11          14          13          11          13          10          10          9           13          11          9           9           10          12          12          11          8           11          10          10          16          563        
south        8           11          5           8           8           12          10          11          13          10          5           20          4           14          12          6           9           7           14          6           18          15          7           15          7           9           10          17          5           13          11          11          8           14          11          2           9           9           8           12          14          10          21          9           9           10          15          7           13          10          522        
supine       11          11          8           12          12          10          12          11          6           7           8           12          12          9           6           7           13          10          15          5           7           13          10          9           14          3           8           9           15          10          13          8           13          5           10          11          11          19          9           9           2           10          7           10          13          10          11          9           7           13          495        
temporal     13          7           9           6           11          7           8           12          8           7           6           11          9           9           10          3           14          17          10          5           12          8           12          5           12          10          12          16          12          11          5           9           7           9           12          7           5           9           10          6           10          10          8           15          10          9           6           14          11          10          474        
they'd       13          11          3           10          9           8           7           9           10          9           8           10          10          9           9           12          9           13          10          13          6           10          14          12          5           12          10          7           10          15          9           6           16          13          13          10          16          8           11          8           10          9           18          6           12          21          10          12          10          18          529        
tincture     10          10          7           6           8           13          8           5           16          17          12          8           7           15          10          8           13          10          8           7           13          12          18          5           6           6           8           9           12          9           7           3           12          5           8           8           11          9           9           12          7           9           9           9           8           7           15          8           8           6           466        
unkempt      9           11          9           12          12          14          5           9           10          14          8           12          3           9           9           9           14          6           7           11          10          10          12          12          10          9           13          10          9           7           9           14          11          10          5           11          11          14          14          4           11          9           12          11          8           9           12          9           7           10          496        
veldt        10          10          11          6           11          14          8           13          4           11          9           7           7           10          16          11          14          8           11          11          14          12          8           7           12          5           13          9           8           7           11          17          5           8           9           14          8           10          8           10          7           15          8           14          10          8           14          13          12          15          513        
